OBJECTID_12,OBJECTID_1,OBJECTID,DISTRICT,DISTNAME,CAMPUS,CAMPNAME,STREET_MAI,CITY_MAIL,ZIP_MAIL,STREET,CITY,ZIP,COUNTY,CNTYNAME,REGION,GRADERANGE,GRADEGRP,VERIFY,INSTR_TYPE,STREET_M_1,ADJUST,Shape,Latitude,Longitude
1269,1269,8311,101846,HARMONY SCIENCE ACADEMY,101846002,HARMONY SCHOOL OF INNOVATION - HOUSTON,9421 W SAM HOUSTON PKWY,HOUSTON,77099,9421 W SAM HOUSTON PKWY,HOUSTON,77099,101,HARRIS COUNTY,4,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,1,0,REGULAR INSTRUCTIONAL,9421 W SAM HOUSTON PKWY,Y,1269,29.670869,-95.58599
300,300,1526,101909,NORTH FOREST ISD,101909011,NORTH FOREST DROPOUT RECOVERY,P O BOX 23278,HOUSTON,77228,10726 MESA,HOUSTON,77078,101,HARRIS COUNTY,4,12-Sep,4,0,ALTERNATIVE,P O BOX 23278,?,300,29.82,-95.29
1161,1161,7661,101814,VARNETT CHARTER SCHOOL,101814102,THE VARNETT SCHOOL - NORTHEAST,P O BOX 1457,HOUSTON,77251,8305 MESA RD,HOUSTON,77028,101,HARRIS COUNTY,4,PK-5,1,0,CHARTER/REGULAR INSTRUCTIONAL,P O BOX 1457,Y,1161,29.7,-95.54
1162,1162,7662,101814,VARNETT CHARTER SCHOOL,101814103,THE VARNETT SCHOOL - EAST,P O BOX 1457,HOUSTON,77251,804A MAXEY RD,HOUSTON,77013,101,HARRIS COUNTY,4,PK-5,1,0,CHARTER/REGULAR INSTRUCTIONAL,P O BOX 1457,Y,1162,29.7,-95.54
1033,1033,6969,101822,JAMIE'S HOUSE CHARTER SCHOOL,101822001,JAMIES HOUSE CHARTER SCHOOL,P O BOX 681183,HOUSTON,77268,17406 BAMWOOD,HOUSTON,77090,101,HARRIS COUNTY,4,12-Jun,5,0,CHARTER/ALTERNATIVE,P O BOX 681183,Y,1033,29.9909,-95.4818
68,68,392,101907,CYPRESS-FAIRBANKS ISD,101907153,SWENKE EL,P O BOX 692003,HOUSTON,77269,22400 FAIRFIELD PLACE DR,HOUSTON,77433,101,HARRIS COUNTY,4,ELEMENTARY,1,0,REGULAR INSTRUCTIONAL,P O BOX 692003,Y,68,29.96,-95.5587
242,242,1201,101907,CYPRESS-FAIRBANKS ISD,101907057,DR CHERYL CORBETT SALYARDS,P O BOX 692003,HOUSTON,77269,21757 FAIRFIELD PLACE,CYPRESS,77433,101,HARRIS COUNTY,4,06 07 08,2,0,REGULAR INSTRUCTIONAL,P O BOX 692003,Y,242,29.96,-95.5587
124,124,691,101925,HUFFMAN ISD,101925103,HUFFMAN INTERMEDIATE,P O BOX 2390,HUFFMAN,77336,24403 E LK HOUSTON PKWY,HUFFMAN,77336,101,HARRIS COUNTY,4,04 05,1,0,REGULAR INSTRUCTIONAL,P O BOX 2390,Y,124,30.063168,-95.098858
24,24,129,101902,ALDINE ISD,101902165,JONES EC/PRE-K CENTER,8003 FOREST POINT DR,HUMBLE,77338,8003 FOREST POINT DR,HUMBLE,77338,101,HARRIS COUNTY,4,EE - KG,1,0,REGULAR INSTRUCTIONAL,8003 FOREST POINT DR,Y,24,30.017301,-95.286217
33,33,235,101902,ALDINE ISD,101902134,JONES ELEM,7903 FOREST POINT DR,HUMBLE,77338,7903 FOREST POINT DR,HUMBLE,77338,101,HARRIS COUNTY,4,EE - 04,1,0,REGULAR INSTRUCTIONAL,7903 FOREST POINT DR,Y,33,30.017301,-95.286217
